,Name,Distance,Latitude,Longitude
2258,Raisu,398,49.268036,-123.158378
1681,Ramen Danbo - Robson,704,49.287499,-123.12898
2492,Revolver,418,49.283261,-123.109473
5001,Rio Theatre,799,49.262048,-123.070353
3943,Saku,818,49.29141,-123.134912
5738,Sal y Limon,822,49.256878,-123.08922
4442,Seaside Seawall,959,49.272387,-123.104085
260,Sephora,347,49.283972,-123.11724
1934,Shaughnessy Restaurant,928,49.238654,-123.129837
5436,Siegel's Bagels,743,49.272737,-123.147184
2525,Small Victory,962,49.258291,-123.138568
4225,Small Victory Bakery,709,49.276391,-123.121299
5497,St. Augustine's,877,49.263783,-123.069526
3028,Stanley Park,1000,49.301704,-123.1417
210,Stanley Park English Bay Seawall,626,49.290133,-123.146728
5357,Stanley Park Harbourfront Seawall,894,49.29722,-123.130866
918,Strange Fellows Brewing,917,49.272444,-123.077805
29,Tacofino,703,49.276488,-123.119685
5610,Takumi Japanese Restaurant,233,49.263617,-123.206889
1881,Tavola,129,49.291843,-123.135761
1836,The Burrow,872,49.259684,-123.06999
3320,The Cascade Room,926,49.261744,-123.100746
188,The Downlow Chicken Shack,558,49.276378,-123.069781
1267,The Gluten Free Epicurean,1007,49.257337,-123.090395
4261,The Gourmet Warehouse,871,49.28102,-123.076179
3591,The Inukshuk,877,49.284303,-123.143552
292,The Juice Truck,544,49.266384,-123.105358
3958,The Mackenzie Room,724,49.283272,-123.095032
4457,Thomas Haas Patisserie,816,49.264143,-123.163234
3515,Toshi Sushi,605,49.256698,-123.101858
2300,Totem Poles in Stanley Park,708,49.29916,-123.121052
1931,Truffles Fine Foods,830,49.239427,-123.12893
2904,VanDusen Botanical Garden,837,49.238594,-123.128586
5231,Vancouver Aquarium,305,49.30068270565011,-123.13085496425629
2222,Vancouver Public Library,878,49.279513,-123.115381
394,Via Tevere Pizzeria,322,49.273873,-123.065512
3,Vij's,553,49.257598,-123.114829
881,Welk's Mart,972,49.253536,-123.101183
487,West Point Grey Academy,116,49.266549,-123.20017
