Name,Distance,Latitude_x,Longitude_x,Latitude_y,Longitude_y,Rating,Review Count
Les Faux Bourgeois,89.0,49.257306,-123.089824,49.2572813531481,-123.089767330802,4.0,455.0
Los Cuervos Taqueria & Cantina,895.0,49.257466,-123.091136,,,,
Matchstick Coffee,866.0,49.257296,-123.090229,49.257302653286,-123.090361582581,4.0,210.0
Meat & Bread,239.0,49.282674,-123.109342,49.2826255017147,-123.109336831057,4.0,787.0
Milano Coffee,430.0,49.263724,-123.108701,,,,
Muji 無印良品,995.0,49.285368,-123.12531,,,,
Nero Belgian Waffle Bar,428.0,49.278311,-123.122111,,,,
Neverland Tea Salon,747.0,49.264037,-123.173523,,,,
Nuba,669.0,49.264022,-123.174575,,,,
Osteria Savio Volpe,469.0,49.257425,-123.09097,49.2574913,-123.0909344,4.0,434.0
Pallet Coffee Roasters,754.0,49.28179,-123.063911,,,,
Parallel 49 Brewing Co,804.0,49.283798,-123.064405,,,,
Parthenon Supermarket,724.0,49.264037,-123.173523,,,,
Passion8 Dessert Cafe,535.0,49.25837,-123.114814,49.258435242883,-123.11499774456,4.0,212.0
Pepino's,671.0,49.278808,-123.070636,49.2787695,-123.0705849,4.0,151.0
Potluck Hawker Eatery,383.0,49.254508,-123.114891,49.254602,-123.1149019,3.5,91.0
Pulpfiction Books,824.0,49.263494,-123.100651,,,,
Pure Bread,527.0,49.266631,-123.104568,,,,
Queen Elizabeth Botanical Gardens,909.0,49.242081,-123.113751,,,,
Queen Elizabeth Park Fountains,940.0,49.241478,-123.113781,,,,
Queen Elizabeth Pitch & Putt,1240.0,49.241058,-123.123231,,,,
R & B Brewing Inc,962.0,49.26727,-123.103568,,,,
Rackets & Runners,667.0,49.251133,-123.127172,,,,
Rain or Shine,373.0,49.255054,-123.114856,,,,
Rain or Shine Ice Cream,569.0,49.267929,-123.1488,49.2551458,-123.1149293,4.5,241.0
Raisu,398.0,49.268036,-123.158378,49.2679990419609,-123.158381134272,4.0,456.0
Ramen Danbo - Robson,704.0,49.287499,-123.12898,,,,
Revolver,418.0,49.283261,-123.109473,,,,
Rio Theatre,799.0,49.262048,-123.070353,,,,
Saku,818.0,49.29141,-123.134912,49.289223,-123.132266,4.5,384.0
Sal y Limon,822.0,49.256878,-123.08922,,,,
Seaside Seawall,959.0,49.272387,-123.104085,,,,
Sephora,347.0,49.283972,-123.11724,,,,
Shaughnessy Restaurant,928.0,49.238654,-123.129837,49.2386894943567,-123.129515433868,3.0,112.0
Siegel's Bagels,743.0,49.272737,-123.147184,,,,
Small Victory,962.0,49.258291,-123.138568,,,,
Small Victory Bakery,709.0,49.276391,-123.121299,,,,
St. Augustine's,877.0,49.263783,-123.069526,,,,
Stanley Park,1000.0,49.301704,-123.1417,49.2978842,-123.1308093,5.0,1094.0
Stanley Park English Bay Seawall,626.0,49.290133,-123.146728,,,,
Stanley Park Harbourfront Seawall,894.0,49.29722,-123.130866,,,,
Strange Fellows Brewing,917.0,49.272444,-123.077805,,,,
Tacofino,703.0,49.276488,-123.119685,49.28279,-123.10478,3.5,453.0
Takumi Japanese Restaurant,233.0,49.263617,-123.206889,49.2637932,-123.2067658,3.5,31.0
Tavola,129.0,49.291843,-123.135761,49.2918164,-123.1357186,4.5,369.0
The Burrow,872.0,49.259684,-123.06999,49.2597591,-123.0700099,4.0,508.0
The Cascade Room,926.0,49.261744,-123.100746,49.2617,-123.10062,4.0,233.0
The Downlow Chicken Shack,558.0,49.276378,-123.069781,,,,
The Gluten Free Epicurean,1007.0,49.257337,-123.090395,49.2573863,-123.0906877,4.0,132.0
The Gourmet Warehouse,871.0,49.28102,-123.076179,,,,
The Inukshuk,877.0,49.284303,-123.143552,,,,
The Juice Truck,544.0,49.266384,-123.105358,,,,
The Mackenzie Room,724.0,49.283272,-123.095032,,,,
Thomas Haas Patisserie,816.0,49.264143,-123.163234,,,,
Toshi Sushi,605.0,49.256698,-123.101858,,,,
Totem Poles in Stanley Park,708.0,49.29916,-123.121052,,,,
Truffles Fine Foods,830.0,49.239427,-123.12893,,,,
VanDusen Botanical Garden,837.0,49.238594,-123.128586,49.2380283,-123.1281605,4.5,196.0
Vancouver Aquarium,305.0,49.30068270565011,-123.13085496425629,49.300799023067384,-123.13092740246412,4.5,573.0
Vancouver Public Library,878.0,49.279513,-123.115381,,,,
Via Tevere Pizzeria,322.0,49.273873,-123.065512,49.27387530438791,-123.06553445802784,4.0,337.0
Vij's,553.0,49.257598,-123.114829,,,,
Welk's Mart,972.0,49.253536,-123.101183,,,,
West Point Grey Academy,116.0,49.266549,-123.20017,,,,
49th Parallel Coffee,,,,49.2680088064106,-123.154781059525,4.0,212.0
AJ's Brooklyn Pizza Joint,,,,49.2629437687572,-123.098307028413,4.5,139.0
Absinthe Bistro,,,,49.27607,-123.0692457,4.5,141.0
Afghan Horsemen Restaurant,,,,49.2694847203493,-123.138735294342,4.0,249.0
Afuri Ramen + Dumpling,,,,49.25994,-123.10151,4.0,23.0
Aleph Eatery,,,,49.2849288,-123.065795,4.5,69.0
Alouette Bistro,,,,49.2853,-123.11829,4.5,57.0
Ancora Waterfront Dining and Patio,,,,49.273853456158875,-123.13257765112428,4.0,223.0
Anna's Cake House,,,,49.26217,-123.09073,4.0,48.0
Arike Restaurant,,,,49.2868046,-123.1408561,5.0,26.0
Axum Restaurant,,,,49.2814936637038,-123.07779582314,4.5,70.0
B House,,,,49.264473795087,-123.069533295929,4.5,25.0
Ba Le Banh Mi,,,,49.2626049,-123.0893899,3.5,31.0
Banana Leaf,,,,49.28001,-123.13009,3.5,241.0
Bao Bei Chinese Brasserie,,,,49.2796095312486,-123.100574596039,4.0,424.0
Bean Around the World Coffees,,,,49.2636865,-123.2079184,4.0,29.0
Beeryani Indian Bistro & Bar,,,,49.28724,-123.14124,4.5,36.0
Bella Gelateria,,,,49.2865973,-123.14110231288184,4.0,890.0
Bella Roma Pizzeria & Ristorante,,,,49.2636894,-123.208103,3.5,56.0
Bells and Whistles,,,,49.2556805042778,-123.089684071771,3.0,124.0
Beta5 Chocolates,,,,49.2696646,-123.0958401,4.5,307.0
Black Frog Eatery,,,,49.284598,-123.108687,4.0,215.0
Black Rice Izakaya,,,,49.278444,-123.114329,4.0,301.0
Bloedel Conservatory,,,,49.2414242,-123.1147553,4.5,133.0
Blue Water Cafe,,,,49.2761945,-123.1209935,4.5,1080.0
Bombay Kitchen and Bar,,,,49.2753791,-123.06925001456972,4.0,54.0
Bombay Masala Indian Restaurant,,,,49.26407,-123.20835,4.5,24.0
Botanist,,,,49.2883099,-123.1167271,4.5,388.0
Browns Crafthouse Seymour,,,,49.2841724124811,-123.113347974687,4.0,48.0
Browns Socialhouse Point Grey,,,,49.2636639748682,-123.185155477975,3.5,49.0
Budgies Burritos,,,,49.2634464768729,-123.100247082572,4.0,283.0
Burdock,,,,49.26092,-123.10066,3.5,184.0
Burgoo Bistros,,,,49.25765498958033,-123.100815,4.0,504.0
CRAFT Beer Market,,,,49.2864807,-123.142214,4.0,37.0
Caffe La Tana,,,,49.2788597356837,-123.070581380828,4.5,40.0
Caffe W,,,,49.2642329148272,-123.18472912500756,4.5,42.0
Café Gloucester,,,,49.25552,-123.11472,3.5,149.0
Café Portrait,,,,49.2881056129168,-123.140413686633,4.5,53.0
Calabash Bistro,,,,49.281004479966,-123.104228199529,4.0,285.0
Cardero's Restaurant & Marine Pub,,,,49.2914561357511,-123.127575841549,4.0,661.0
Catoro Cafe,,,,49.26216,-123.08963,4.0,34.0
Caveman Cafe,,,,49.280802324947445,-123.10703500282293,4.5,273.0
Chambar,,,,49.2801460007961,-123.109925328073,4.0,1548.0
Chewies Steam & Oyster Bar - Kits,,,,49.2709727,-123.1552829,3.5,293.0
Chi Vegan,,,,49.2681947,-123.1487738,4.0,207.0
Chinatown BBQ,,,,49.280294,-123.1015,4.5,286.0
Chung Chun,,,,49.29147304039323,-123.13512302935123,4.5,79.0
Cioppino's Mediterranean Grill,,,,49.275522,-123.121794,4.5,199.0
Circus Play Cafe,,,,49.28109509999999,-123.0739001,4.0,53.0
City 1 Cafe,,,,49.248391,-123.125497,3.5,97.0
Congee Noodle House,,,,49.26316,-123.10213,3.5,351.0
Damso Modern Korean Cuisine,,,,49.290631652856824,-123.13696164681824,4.0,205.0
Delara,,,,49.2680486,-123.1569183,4.0,46.0
Delhi 6 Indian Bistro,,,,49.2653386,-123.1449329,4.5,135.0
Di Beppe,,,,49.28237705581659,-123.10450043738042,4.0,141.0
Dinesty Dumpling House,,,,49.2908176,-123.1343912,4.0,958.0
Do Chay,,,,49.25006,-123.0765,4.5,165.0
Dockside Restaurant,,,,49.2693844631928,-123.13101576314,3.0,279.0
Dolce Amore,,,,49.27069306211316,-123.06932196564716,4.5,149.0
Downlow Chicken Shack,,,,49.2765067,-123.0696349,4.0,275.0
Dundas Eat + Drink,,,,49.285084,-123.062273,4.5,73.0
Earls Kitchen + Bar,,,,49.26392,-123.14126,3.0,191.0
Elephant Garden Creamery,,,,49.2661487,-123.0694056,4.5,140.0
Elisa,,,,49.2759562,-123.1213608,4.0,205.0
España Restaurant,,,,49.2880552,-123.1404114,4.0,251.0
Eternal Abundance,,,,49.2755401,-123.0696449,4.0,119.0
Everyday Sushi,,,,49.2637446,-123.2111529,3.0,29.0
Fable Kitchen,,,,49.2679331,-123.149019,4.5,774.0
Famoso Neapolitan Pizzeria,,,,49.272346,-123.0693715,3.5,249.0
Fanny Bay Oyster Bar & Shellfish Market,,,,49.2787525,-123.1138689,4.5,801.0
Fassil Ethiopian Restaurant,,,,49.262316686122,-123.08833077466,4.5,149.0
Fat Mao Noodles,,,,49.2799016,-123.1272458,4.5,50.0
Finch's Tea & Coffee House,,,,49.2825732,-123.1113434,4.5,416.0
Five Sails Restaurant,,,,49.2880313351364,-123.113292160758,4.5,186.0
Forage,,,,49.28707,-123.12925,4.0,713.0
Four Olives,,,,49.2637239358184,-123.209597314524,4.0,28.0
Fritz European Fry House,,,,49.2772045,-123.1265253,4.0,825.0
Ginger & Chili Restaurant,,,,49.2639293,-123.2064836,3.0,46.0
Gojo Café,,,,49.2589549,-123.069605,4.0,61.0
Gold Train Express,,,,49.26355,-123.21015,3.5,41.0
Grapes & Soda,,,,49.2663232,-123.1396602,4.5,44.0
Gringo,,,,49.2831553214634,-123.105335897068,4.5,286.0
Grounds For Coffee,,,,49.2637235,-123.1861003,4.5,139.0
Guu Original Thurlow,,,,49.2839786648396,-123.125567978574,4.0,798.0
Guu with Otokomae,,,,49.2847191,-123.11038556296398,3.5,379.0
Gyu-Kaku Japanese BBQ,,,,49.28031,-123.12467,4.0,398.0
Hachibei Japanese Restaurant,,,,49.256899,-123.1215336,4.0,74.0
Haidilao - Vancouver,,,,49.26395,-123.17622,4.5,50.0
Hail Mary's,,,,49.2623351,-123.0894392,4.5,16.0
Handi Grill,,,,49.264072,-123.184133,3.5,80.0
Haraheri,,,,49.280074,-123.125225,3.5,267.0
Harbour Oyster + Bar,,,,49.2718946138822,-123.069181591272,4.0,76.0
Havana,,,,49.273708,-123.069271,3.5,381.0
Hook Restaurant,,,,49.2870144,-123.1419204,3.5,120.0
Hy's Steakhouse & Cocktail Bar,,,,49.28468,-123.11927,4.0,352.0
Hydra Estiatorio,,,,49.2856276,-123.1160679,3.5,138.0
Ignite Pizzeria Mount Pleasant,,,,49.26215691,-123.10085376,4.0,78.0
Indochine Kitchen,,,,49.2631601,-123.1047,3.0,115.0
Itosugi Kappo Cuisine,,,,49.264094,-123.184705,4.5,16.0
JOEY Bentall One,,,,49.2864205554373,-123.118409514427,3.5,236.0
JOEY Burrard,,,,49.2827851242953,-123.12316775322,4.0,579.0
Jackson's Meat & Deli,,,,49.2680597,-123.1557696,4.5,64.0
Jam Cafe,,,,49.2682705,-123.1539827,4.5,238.0
Jam Cafe on Beatty,,,,49.2802586,-123.1096376,4.5,1403.0
Jamjar - Folk Lebanese Food,,,,49.264412,-123.0695951,4.0,261.0
Jingle Bao,,,,49.291609,-123.134917,4.0,168.0
Jo's Italian Deli,,,,49.2642192,-123.1860777,3.5,34.0
Johnny’s On Oak,,,,49.25143,-123.12723,4.5,10.0
Jollibee,,,,49.2628615714721,-123.1151665,3.5,37.0
Joon's Kitchen,,,,49.25814006151812,-123.1271603431787,4.0,59.0
Jungle Room,,,,49.289897,-123.138111,4.0,14.0
Kaide Sushi,,,,49.2742161,-123.1270679,4.5,240.0
Kin Kao Song,,,,49.2629749,-123.0986667,4.5,31.0
Kin Kao Thai Kitchen,,,,49.276516,-123.0696335,4.0,167.0
Kingyo,,,,49.29073911099211,-123.13705023185994,4.5,1104.0
Kishimoto Japanese Kitchen,,,,49.2665099,-123.06935,4.5,521.0
Koi Sushi,,,,49.263724,-123.2100351,4.0,22.0
Kokoro Tokyo Mazesoba,,,,49.2833927,-123.115078,4.0,459.0
Kosoo Restaurant,,,,49.2890856,-123.1326402,3.5,175.0
Kozak Ukrainian Restaurant,,,,49.28270380943574,-123.1046559827506,4.5,47.0
Kozu Sushi Pizza,,,,49.27827,-123.07566,4.5,19.0
Kulinarya,,,,49.2744901,-123.0693269,4.0,70.0
L'Abattoir,,,,49.2831869855333,-123.104450140894,4.0,584.0
L'atelier Patisserie,,,,49.26262317044252,-123.09124371962922,4.5,110.0
LIFT Bar Grill View,,,,49.2937850399962,-123.12978089218,3.5,306.0
La Cigale French Bistro,,,,49.2683296,-123.1494293,4.0,150.0
La Quercia,,,,49.2687649,-123.1853601,4.0,203.0
Las Margaritas Restaurant,,,,49.2683195,-123.15007987746176,3.0,404.0
Las Tortas,,,,49.2554,-123.11561,4.0,102.0
Le Crocodile Restaurant,,,,49.2822815356982,-123.124911131657,4.5,445.0
Legendary Noodle House,,,,49.2883958,-123.13983,3.5,229.0
Lin Chinese Cuisine And Tea House,,,,49.263677,-123.1395952,3.5,233.0
Linh Cafe,,,,49.2746716,-123.12989802,4.0,311.0
Little Bird Dim Sum,,,,49.26814,-123.17168,4.0,85.0
Local Public Eatery,,,,49.2835742,-123.1039517,4.0,144.0
Locarno Park Extension,,,,49.2655211345353,-123.205994032323,4.0,1.0
Los Cuervos Taqueria Y Cantina,,,,49.2574755005862,-123.091043941677,4.0,184.0
Lucy's Eastside Diner,,,,49.2609143,-123.1008146,3.0,338.0
Lumiere Cafe,,,,49.263468,-123.115865,4.5,19.0
Lunch Lady,,,,49.27497,-123.06915,4.0,218.0
Lupo,,,,49.27823,-123.1174,4.5,446.0
Maenam,,,,49.26787,-123.1488979,4.0,387.0
Maizal RMF,,,,49.2600097,-123.1012988,4.5,146.0
Mandarin Hong Kong Cafe,,,,49.24863584054912,-123.12525091003072,3.5,50.0
Marcello,,,,49.27204590144254,-123.06943334795372,3.0,340.0
Maruhachi Ra-men,,,,49.2905691,-123.1333951,4.5,763.0
Marulilu Cafe,,,,49.26338,-123.11415,4.0,288.0
MeeT in Gastown,,,,49.28343624826065,-123.1048494822089,4.0,507.0
Memphis Blues,,,,49.2723737,-123.0693711,3.5,128.0
Menya Raizo,,,,49.26336,-123.11314,4.0,79.0
Miku,,,,49.28691753455261,-123.11276314110472,4.5,2267.0
Milano Casa Ristorante,,,,49.26392,-123.20583,2.5,7.0
Minami,,,,49.2752733,-123.1207029,4.0,771.0
Mix the Bakery,,,,49.263668,-123.2069343,3.5,48.0
Mogu Fried Chicken,,,,49.2756074483614,-123.069326430559,4.5,28.0
Monsoon Indian Restaurant,,,,49.25426,-123.11477,4.0,18.0
Moose's Down Under,,,,49.285638,-123.11634,4.0,148.0
Mount Everest Kitchen & Grill,,,,49.28343057225757,-123.1142148824853,4.5,56.0
NUTTEA,,,,49.2679328,-123.14931,5.0,33.0
Nam San,,,,49.28946,-123.13294,4.5,28.0
Nemesis Coffee,,,,49.26704079691957,-123.09260254912492,4.0,78.0
Nero Waffles,,,,49.2907208,-123.1339952,4.5,662.0
Nightingale,,,,49.2874110331456,-123.117770967577,4.0,492.0
Noah's Cafe,,,,49.28827635407216,-123.1400279,4.5,36.0
Noodle Arts,,,,49.29111,-123.13431,4.0,75.0
Nook,,,,49.2917554,-123.1352974,4.5,309.0
Novo Italian,,,,49.2666178,-123.1454221,4.0,160.0
Nuba in Gastown,,,,49.2827625062516,-123.109646101134,4.0,755.0
O5 Tea,,,,49.2681742,-123.1554777,4.5,92.0
OEB Breakfast Co. Yaletown,,,,49.2734341,-123.1192724,4.5,804.0
Ooh La La Donuts,,,,49.263594,-123.206367,4.5,3.0
Osaka Sushi,,,,49.248529409778,-123.125809548424,3.5,55.0
Pablo Cheese Tart,,,,49.26338,-123.11592,4.0,25.0
Palate Kitchen,,,,49.286331,-123.1157402,4.0,109.0
Patisserie Lebeau,,,,49.2696509840324,-123.144082948565,4.5,125.0
Paul's Omelettery Restaurant,,,,49.26597,-123.1389,4.0,299.0
Peaceful Restaurant,,,,49.263147,-123.116143,3.5,621.0
Peaked Pies,,,,49.2896489,-123.1384797,4.5,200.0
Phnom Penh,,,,49.278431,-123.098205,4.0,1650.0
Pho 37,,,,49.28909,-123.13232,4.5,33.0
Pho Xe Lua 24,,,,49.2554137,-123.1149178,4.0,114.0
PiDGiN,,,,49.2819071402452,-123.104188653967,4.0,324.0
Pizzeria Barbarella,,,,49.262323801504,-123.08982824163,4.0,202.0
Pourhouse Restaurant,,,,49.2841134475502,-123.10842879595,4.0,561.0
Published On Main,,,,49.25283186017385,-123.10116032897228,4.5,119.0
Queen Elizabeth Park,,,,49.241763552458494,-123.112624900842,4.5,164.0
Quizine Kitchen,,,,49.2625351,-123.0806732,5.0,6.0
Rajio Japanese Public House,,,,49.2636549,-123.1870301,4.0,128.0
Ramen Danbo,,,,49.26828,-123.146431,4.0,438.0
RedBeef Noodle Kitchen,,,,49.2681986,-123.1490359,4.0,110.0
Rice Burger,,,,49.2635568,-123.2089751,4.5,85.0
Riley's Fish & Steak,,,,49.287641996861865,-123.1151089,4.0,60.0
Robba da Matti,,,,49.2753397,-123.1208967,4.0,501.0
Robba da Matti West End,,,,49.29172,-123.13857,4.0,69.0
Rodney's Oyster House,,,,49.2831349,-123.1030172,4.0,255.0
Rogue Kitchen & Wetbar,,,,49.263047,-123.117827,3.5,148.0
Rooster's Ice Cream Bar,,,,49.2625511,-123.0825231,4.0,110.0
Sahel Market & Restaurant,,,,49.2643454,-123.176155,4.5,51.0
Sal y Limón,,,,49.2569043786921,-123.08924632997,4.0,651.0
Salade de Fruits Cafe,,,,49.2655161,-123.1401237,4.0,177.0
Salmon n' Bannock,,,,49.2631378,-123.1296705,4.5,207.0
Score on Davie,,,,49.2823221457395,-123.134614739512,4.5,351.0
Seaport City Seafood Restaurant,,,,49.263921119674905,-123.115152,4.0,37.0
Seasons In the Park,,,,49.2416705486198,-123.112535476685,4.0,530.0
Second Cup,,,,49.2450981314324,-123.12436663912466,3.5,8.0
Shiro,,,,49.25796735722776,-123.11460624110458,4.0,245.0
Shizen Ya,,,,49.2808844,-123.1246278,4.0,590.0
Showcase Restaurant & Bar,,,,49.2879858,-123.1204414,4.0,133.0
Sing Sing,,,,49.2607122038635,-123.100685477257,3.5,126.0
Six Acres,,,,49.2833119,-123.1044042,4.0,293.0
Sophie's Cosmic Café,,,,49.2682476,-123.1526039,3.0,304.0
Sopra Sotto,,,,49.2711051,-123.0694651,4.0,143.0
Stanley's Bar & Grill,,,,49.2997083,-123.1339011,3.5,108.0
Starbucks,,,,49.2452587,-123.1275451,4.5,9.0
Steamworks,,,,49.28498,-123.11084,3.5,804.0
Straight Outta Brooklyn NYC Pizzeria,,,,49.25682,-123.08919,4.0,68.0
Subway,,,,49.2639046,-123.204938,3.5,3.0
Suika,,,,49.26333,-123.1417,4.0,534.0
Sula Indian Restaurant,,,,49.2745279,-123.0693263,4.0,271.0
Sun Sushi,,,,49.2637184,-123.2095553,3.5,79.0
Sunrise Pizza & Steak House,,,,49.2759073,-123.0695552,3.5,80.0
Superbaba,,,,49.2633297,-123.1012681,4.5,75.0
Sura Korean Cuisine,,,,49.2888601838143,-123.131742169312,4.0,436.0
Sushi 7,,,,49.2541464081428,-123.115023834667,4.0,63.0
Sushi Bar Maumi,,,,49.28996033056277,-123.1336141,4.0,173.0
Sushi California,,,,49.2630454633729,-123.112614326016,3.5,320.0
Sushi Jin,,,,49.2795794102629,-123.123817518353,4.5,138.0
Sushi Mugen,,,,49.2786508,-123.1282232,4.0,119.0
Sweet Cherubim,,,,49.2746855,-123.0697373,3.5,116.0
Tabom,,,,49.28906007486266,-123.13187998252948,4.0,108.0
Takenaka,,,,49.2783093,-123.0755801,4.0,76.0
Tandoori Palace,,,,49.2717682,-123.0697249,3.5,129.0
Tap & Barrel - Convention Centre,,,,49.289845529586,-123.116857235515,4.0,340.0
Taste of Thai,,,,49.2644912,-123.1845067,4.0,82.0
Tasty Indian Bistro,,,,49.2744011,-123.1236818,4.0,218.0
Tatta Chulha,,,,49.26307302443682,-123.1018777,4.5,25.0
Tetsu Sushi Bar,,,,49.2917758,-123.1352662,4.5,102.0
The Charlatan,,,,49.2717298,-123.0697249,3.5,157.0
The Eatery,,,,49.2644193,-123.1803953,3.5,522.0
The Farmer's Apprentice,,,,49.2662176,-123.1395648,3.5,184.0
The Firewood Café,,,,49.2584924,-123.1148336,4.0,122.0
The Fish Counter,,,,49.25076,-123.10136,4.5,357.0
The Flying Pig,,,,49.27501,-123.122,4.0,1312.0
The Kitchen,,,,49.26351040917396,-123.2089765,3.5,37.0
The Kitchen Dada,,,,49.264037087133,-123.186078295112,4.0,41.0
The Lobby Lounge and RawBar,,,,49.28816,-123.11659,4.0,117.0
The Mexican Antojitos Y Cantina,,,,49.2787726,-123.1240268,4.5,407.0
The Park Pub,,,,49.28694973954,-123.141087285986,3.5,69.0
The Pawn Shop YVR,,,,49.2781054,-123.1252051,4.0,162.0
The Poke Guy,,,,49.2837389,-123.1120629,4.5,206.0
The PokéMan,,,,49.263233674428754,-123.18671230226757,4.5,86.0
The Red Accordion,,,,49.29025,-123.131768,4.5,82.0
The Red Wagon,,,,49.28122323218941,-123.06112288953248,4.0,623.0
The Templeton,,,,49.2785261,-123.1243982,4.0,533.0
The Tiki Bar,,,,49.28156,-123.07485,4.0,33.0
The Wolf & Hound,,,,49.2644878,-123.1842188,3.5,94.0
Their There,,,,49.2679649501648,-123.151158941154,4.0,118.0
Thierry,,,,49.2848818,-123.1228949,4.0,957.0
Tocador,,,,49.261764,-123.1008072,3.5,49.0
Tokyo In April,,,,49.2806813,-123.1073936,4.5,61.0
Tom Sushi,,,,49.2815608,-123.1327476,4.5,228.0
Tonton Sushi,,,,49.2497178,-123.115173,4.0,74.0
Top of Vancouver Revolving Restaurant,,,,49.28468,-123.11189,3.0,381.0
Trimble Park,,,,49.2662076800639,-123.205293305218,5.0,1.0
True Confections,,,,49.2641648618041,-123.181726746261,3.0,124.0
Twisted Fork,,,,49.283194,-123.104445,4.0,1110.0
Ukrainian Village,,,,49.2914123,-123.1358196,4.0,171.0
Uma Sushi,,,,49.2638048,-123.1137294,4.5,118.0
